id,cas,tipo,nome,cas_nome,endereco,endereco_completo_geocodificacao,bairro,cep,email,responsavel,abrangencia,latitude_aproximada,longitude_aproximada,precisao_geocodificacao,fonte
1,1ª CAS,CAS,1ª CAS – CENTRO,CENTRO,"Rua Benedito Hipólito, 163 – 2º andar","Rua Benedito Hipólito, 163 – 2º andar, Rio de Janeiro, RJ, Brasil",2º andar,20211-130,cas1@prefeitura.rio,Viviane Almeida Santos,"Benfica, Caju, Catumbi, Centro, Cidade Nova, Estácio, Gamboa, Lapa, Mangueira, Paquetá, Rio Comprido, Santa Teresa, Santo Cristo, São Cristóvão, Saúde, Vasco da Gama",-22.9068,-43.1729,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,2ª CAS,CAS,"2ª CAS – VILA ISABEL, GRANDE TIJUCA E ZONA SUL","VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua Pinheiro Machado, 39 – Fundos – Laranjeiras","Rua Pinheiro Machado, 39 – Fundos – Laranjeiras, Rio de Janeiro, RJ, Brasil",Laranjeiras,22231-090,cas2@prefeitura.rio,Claudia Lasry Martins,"Alto da Boa Vista, Andaraí, Botafogo, Catete, Copacabana, Cosme Velho, Flamengo, Gávea, Glória, Grajaú, Horto, Humaitá, Ipanema, Jardim Botânico, Lagoa, Laranjeiras, Leblon, Leme, Maracanã, Praça da Bandeira, Rocinha, São Conrado, Tijuca, Urca, Vidigal e Vila Isabel",-22.9343,-43.1848,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,3ª CAS,CAS,3ª CAS – ENGENHO NOVO,ENGENHO NOVO,"Rua 24 de Maio, 931 fundos – Engenho Novo (ponto de referência: estação Engenho Novo e GEL- Méier)","Rua 24 de Maio, 931 fundos – Engenho Novo (ponto de referência: estação Engenho Novo e GEL- Méier), Rio de Janeiro, RJ, Brasil",Engenho Novo,20950-092,cas3@prefeitura.rio,Marcia Accioly Cerqueira Serpa,"Abolição, Água Santa, Cachambi, Del Castilho, Encantado, Engenho da Rainha, Engenho de Dentro, Engenho Novo, Higienópolis, Inhaúma (parte), Jacaré, Jacarezinho, Lins de Vasconcelos, Maria da Graça, Méier, Piedade, Pilares, Riachuelo, Rocha, Sampaio, São Francisco Xavier, Todos os Santos e Tomás Coelho (parte)",-22.9028,-43.2677,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,4ª CAS,CAS,4ª CAS – BONSUCESSO,BONSUCESSO,"Rua Professor Lacé, 57 – Ramos","Rua Professor Lacé, 57 – Ramos, Rio de Janeiro, RJ, Brasil",Ramos,21060-120,cas4@prefeitura.rio,Karina da Silva,"Bancários, Bonsucesso, Brás de Pina, Cacuia, Cidade Universitária, Cocotá, Complexo do Alemão, Cordovil, Freguesia (Ilha do Governador), Galeão, Jardim América, Jardim Carioca, Jardim Guanabara, Manguinhos, Maré, Moneró, Olaria, Parada de Lucas, Pavuna (parte), Penha, Penha Circular, Pitangueiras, Portuguesa, Praia da Bandeira, Ramos, Ribeira, Tauá, Vigário Geral, Vila da Penha (parte) e Zumbi",-22.852,-43.255,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,5ª CAS,CAS,5ª CAS – MADUREIRA,MADUREIRA,"Rua Carvalho de Souza, 274 / Sala 8 – Madureira (XV R.A)","Rua Carvalho de Souza, 274 / Sala 8 – Madureira (XV R.A), Rio de Janeiro, RJ, Brasil",Madureira,21350-180,cas5@prefeitura.rio,Claudia de Paiva de Castro,"Bento Ribeiro, Campinho, Cascadura, Cavalcanti, Coelho Neto, Engenheiro Leal, Guadalupe, Honório Gurgel, Madureira, Marechal Hermes, Mariópolis (parte), Oswaldo Cruz, Parque Anchieta, Quintino Bocaiúva, Ricardo de Albuquerque, Rocha Miranda, Turiaçu e Vaz Lobo",-22.87,-43.3391,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,6ª CAS,CAS,6ª CAS – IRAJÁ,IRAJÁ,"Rua Capitão Aliatar Martins, 211 – Irajá","Rua Capitão Aliatar Martins, 211 – Irajá, Rio de Janeiro, RJ, Brasil",Irajá,21235-515,cas6@prefeitura.rio,Leila Marques,"Acari, Anchieta (parte), Barros Filho, Colégio, Costa Barros, Irajá, Parque Colúmbia, Pavuna, Vincente de Carvalho, Vila da Penha, Vila Kosmos e Vista Alegre",-22.8314,-43.3231,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,7ª CAS,CAS,7ª CAS – JACAREPAGUÁ,JACAREPAGUÁ,"Av. Ayrton Senna, 2001 BL C – Barra da Tijuca","Av. Ayrton Senna, 2001 BL C – Barra da Tijuca, Rio de Janeiro, RJ, Brasil",Barra da Tijuca,22775-002,cas7@prefeitura.rio,Elaine Cristina Montenegro,"Anil, Barra da Tijuca, Camorim, Cidade de Deus, Colônia, Curicica, Freguesia (Jacarepaguá), Gardênia Azul, Grumari, Itanhagá, Jacarepaguá, Joá, Pechincha, Praça Seca, Recreio dos Bandeirantes, Tanque, Taquara, Vargem Grande, Vargem Pequena, Vila Valqueire",-23.0004,-43.3659,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
8,8ª CAS,CAS,8ª CAS – BANGU,BANGU,"Rua Santa Cecília, 984 / 2º andar – Bangu","Rua Santa Cecília, 984 / 2º andar – Bangu, Rio de Janeiro, RJ, Brasil",Bangu,21810-080,cas8@prefeitura.rio,Rosilaine Rabelo,"Bangu, Campo dos Afonso, Deodoro, Gericinó, Jabour, Jardim Sulacap, Magalhães Bastos, Padre Miguel, Realengo, Santíssimo (até ETERJ), Senador Camará e Vila Militar",-22.8808,-43.4693,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
9,9ª CAS,CAS,9ª CAS – CAMPO GRANDE,CAMPO GRANDE,"Rua do Rádio, s\nº (Praça José Euzébio) – Campo Grande","Rua do Rádio, s\nº (Praça José Euzébio) – Campo Grande, Rio de Janeiro, RJ, Brasil",Campo Grande,23087-060,cas9@prefeitura.rio,Tatiana Fonseca,"Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos",-22.9035,-43.5585,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
10,10ª CAS,CAS,10ª CAS – SANTA CRUZ,SANTA CRUZ,"Rua Fernanda, 155 – Santa Cruz (Superintendência Regional de Santa Cruz)","Rua Fernanda, 155 – Santa Cruz (Superintendência Regional de Santa Cruz), Rio de Janeiro, RJ, Brasil",Santa Cruz,23515-121,cas10@prefeitura.rio,Wagner Andrade,"Barra de Guaratiba, Guaratiba, Ilha de Guaratiba, Paciência, Pedra de Guaratiba, Santa Cruz e Sepetiba",-22.9185,-43.6846,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
